Unnamed: 0,polarite,subjectivite,tonalite
4,0.20409989875715678,0.42919372294372315,discours positif
5,0.012777777777777782,0.315,discours negatif
6,0.17336012435277134,0.4608487019516431,discours positif
7,0.23547874149659864,0.5395680272108843,discours positif
8,0.12462612618862617,0.4034314065564069,discours est neutre
9,0.21747610513739546,0.4733137054104795,discours positif
10,0.10456119604390882,0.46984889814677044,discours est neutre
11,0.25356938135240015,0.4864496038552645,discours positif
12,0.17629732606251947,0.497537221832802,discours positif
13,0.156065848965849,0.40134409294409296,discours positif
14,0.1161323366555925,0.42884274640088604,discours est neutre
15,0.1862532299741602,0.4530684754521963,discours positif
16,0.1330287646954314,0.4815905957572623,discours est neutre
17,0.15028613415191122,0.4871383953566061,discours positif
18,0.1570634720773225,0.5038799550710912,discours positif
19,0.16774426155240107,0.5120572838014699,discours positif
20,0.1477585377585378,0.5278091304914221,discours est neutre
21,0.18102136525605914,0.5069063816002594,discours positif
22,0.13351624810068521,0.5083303159313094,discours est neutre
23,0.07135254329004329,0.4090005411255412,discours est neutre
24,0.2158637873754153,0.5449058693244742,discours positif
25,0.20653868784936744,0.4827841522016279,discours positif
26,0.16554095375523947,0.4365946883804023,discours positif
27,0.1633560806477473,0.5008496339051893,discours positif
28,0.20128613053613048,0.4705563325563327,discours positif
29,0.17594862352654567,0.5193947452259142,discours positif
30,0.13216615560365558,0.47715523288439954,discours est neutre
31,0.1878832824734463,0.4820968967280441,discours positif
32,0.16857971246860134,0.46006311247051956,discours positif
33,0.14200352504638222,0.5285364667078952,discours est neutre
34,0.13484039627537392,0.48804284902939643,discours est neutre
35,0.16225635475635483,0.5569810051060055,discours positif
36,0.20935103586889306,0.509963899196042,discours positif
37,0.15240879828326176,0.47394560256148244,discours positif
38,0.17717942535664058,0.48371692512831727,discours positif
39,0.1409176074872098,0.479783980224321,discours est neutre
40,0.14474353027924458,0.4855377955377956,discours est neutre
41,0.1319554238032499,0.46042646966560014,discours est neutre
42,0.14902857142857148,0.456296103896104,discours est neutre
43,0.05245638200183655,0.5395743145743146,discours est neutre
44,0.18443272413860642,0.4647285720815131,discours positif
45,0.1611660435524071,0.5448762516944331,discours positif
46,0.1674278015049827,0.5449521097843246,discours positif
47,0.15712629399585923,0.5253332705941401,discours positif
48,0.2067703271784905,0.47995332332067014,discours positif
49,0.18080042016806727,0.5376277692895339,discours positif
50,0.2217395113513127,0.5614059405053194,discours positif
51,0.2064820007433645,0.5101797466002012,discours positif
52,0.1861990620490621,0.4545480519480519,discours positif
53,0.15855053012413423,0.4157222782857302,discours positif
54,0.19983737659480227,0.5452851713742802,discours positif
55,0.15866239160631682,0.5103103801701931,discours positif
56,0.15940957190957195,0.478574851074851,discours positif
57,0.18813316745559738,0.4698051948051947,discours positif
58,0.17758723250744524,0.48806584077860665,discours positif
59,0.08584800876708393,0.47270592926662286,discours est neutre
60,0.12294801462904908,0.460521968453003,discours est neutre
61,0.1577351940988305,0.40406739724921537,discours positif
